# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.050447734333e-02       1.892132197353e+04 
       3.064925570504e-02       1.884906006085e+04 
       3.079439030726e-02       1.877677244443e+04 
       3.093988999989e-02       1.870433239840e+04 
       3.108576389362e-02       1.863188469067e+04 
       3.123202136935e-02       1.855937179618e+04 
       3.137867208810e-02       1.848679456316e+04 
       3.152572600133e-02       1.841413830114e+04 
       3.167319336170e-02       1.834147400696e+04 
       3.182108473446e-02       1.826871972293e+04 
       3.196941100920e-02       1.819591512025e+04 
       3.211818341231e-02       1.812316293765e+04 
       3.226741351994e-02       1.805033177205e+04 
       3.241711327162e-02       1.797751810497e+04 
       3.256729498455e-02       1.790465511574e+04 
       3.271797136857e-02       1.783176850341e+04 
       3.286915554190e-02       1.775892203860e+04 
       3.302086104765e-02       1.768603448843e+04 
       3.317310187118e-02       1.761313551623e+04 
       3.332589245834e-02       1.754030115945e+04 
       3.347924773468e-02       1.746749627620e+04 
       3.363318312558e-02       1.739459659026e+04 
       3.378771457760e-02       1.732180543512e+04 
       3.394285858079e-02       1.724901632509e+04 
       3.409863219234e-02       1.717620061215e+04 
       3.425505306144e-02       1.710342877384e+04 
       3.441213945556e-02       1.703071313057e+04 
       3.456991028818e-02       1.695805055816e+04 
       3.472838514804e-02       1.688537784933e+04 
       3.488758433012e-02       1.681271932452e+04 
       3.504752886839e-02       1.674015488844e+04 
       3.520824057041e-02       1.666761041911e+04 
       3.536974205406e-02       1.659509402917e+04 
       3.553205678642e-02       1.652261954333e+04 
       3.569520912495e-02       1.645021243382e+04 
       3.585922436124e-02       1.637790482648e+04 
       3.602412876751e-02       1.630562438500e+04 
       3.618994964586e-02       1.623334028818e+04 
       3.635671538081e-02       1.616111168133e+04 
       3.652445549510e-02       1.608897790165e+04 
       3.669320070918e-02       1.601683494804e+04 
       3.686298300452e-02       1.594476878310e+04 
       3.703383569127e-02       1.587281295685e+04 
