# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  142       5.536458083559e-10       1.509441926340e-13      -6.050394535613e-12       8.991048440307e-16       3.873436093458e-12       6.900608371339e-13      -4.333900093278e-15 
  143       5.582188228853e-10       1.507876480421e-13      -6.079098659927e-12       9.126729645208e-16       3.797082883124e-12       6.799409026816e-13      -4.276662716681e-15 
  144       5.627766846369e-10       1.505662729687e-13      -6.104941485015e-12       9.263700014466e-16       3.722750338049e-12       6.700593990487e-13      -4.220475042042e-15 
  145       5.673181243272e-10       1.502806168962e-13      -6.127870264492e-12       9.401966271178e-16       3.650393633705e-12       6.604054822669e-13      -4.165109305156e-15 
  146       5.718418191031e-10       1.499313236454e-13      -6.147833485567e-12       9.541535104359e-16       3.579958437407e-12       6.509667783140e-13      -4.110320298800e-15 
  147       5.763463914225e-10       1.495191331472e-13      -6.164780908641e-12       9.682413166879e-16       3.511380693336e-12       6.417293497747e-13      -4.055845035360e-15 
  148       5.808304079351e-10       1.490448832140e-13      -6.178663606887e-12       9.824607073402e-16       3.444586407564e-12       6.326776625033e-13      -4.001402409462e-15 
  149       5.852923783633e-10       1.485095113106e-13      -6.189434005846e-12       9.968123398312e-16       3.379491433075e-12       6.237945522847e-13      -3.946692860599e-15 
  150       5.897307543829e-10       1.479140563264e-13      -6.197045923014e-12       1.011296867366e-15       3.316001254786e-12       6.150611914965e-13      -3.891398035767e-15 
  151       5.941439285036e-10       1.472596603460e-13      -6.201454607432e-12       1.025914938708e-15       3.254010774572e-12       6.064570557710e-13      -3.835180452090e-15 
  152       5.985302329503e-10       1.465475704209e-13      -6.202616779273e-12       1.040667197975e-15       3.193404096290e-12       5.979598906563e-13      -3.777683159455e-15 
  153       6.028880613202e-10       1.457791236953e-13      -6.200490905754e-12       1.055554230376e-15       3.134078502404e-12       5.895508390995e-13      -3.718615443623e-15 
  154       6.072162486351e-10       1.449556974993e-13      -6.195037974384e-12       1.070576394196e-15       3.076019343671e-12       5.812304302643e-13      -3.658019608028e-15 
  155       6.115137246404e-10       1.440787579733e-13      -6.186220867397e-12       1.085733972728e-15       3.019231732005e-12       5.730040200221e-13      -3.596028458104e-15 
  156       6.157793937133e-10       1.431498779691e-13      -6.174004172341e-12       1.101027226449e-15       2.963716883408e-12       5.648767566859e-13      -3.532781589136e-15 
  157       6.200121343688e-10       1.421707387366e-13      -6.158354222871e-12       1.116456392540e-15       2.909472026192e-12       5.568535739554e-13      -3.468425487094e-15 
  158       6.242107987655e-10       1.411431316106e-13      -6.139239139543e-12       1.132021684400e-15       2.856490309212e-12       5.489391838635e-13      -3.403113629462e-15 
  159       6.283742122118e-10       1.400689596968e-13      -6.116628870608e-12       1.147723291166e-15       2.804760710095e-12       5.411380697207e-13      -3.337006586067e-15 
  160       6.325011726720e-10       1.389502395593e-13      -6.090495232801e-12       1.163561377233e-15       2.754267943470e-12       5.334544790616e-13      -3.270272119909e-15 
  161       6.365904502724e-10       1.377891029063e-13      -6.060811952137e-12       1.179536081768e-15       2.704992369194e-12       5.258924165898e-13      -3.203085287989e-15 
  162       6.406407868069e-10       1.365877982774e-13      -6.027554704702e-12       1.195647518233e-15       2.656909900583e-12       5.184556371237e-13      -3.135628542142e-15 
  163       6.446508952439e-10       1.353486927297e-13      -5.990701157450e-12       1.211895773899e-15       2.609991912646e-12       5.111476385421e-13      -3.068091829864e-15 
  164       6.486194592315e-10       1.340742735246e-13      -5.950231008989e-12       1.228280909368e-15       2.564205150305e-12       5.039716547296e-13      -3.000672695144e-15 
  165       6.525451326042e-10       1.327671498146e-13      -5.906126030379e-12       1.244802958088e-15       2.519511636632e-12       4.969306485222e-13      -2.933576379290e-15 
  166       6.564265388886e-10       1.314300543294e-13      -5.858370105925e-12       1.261461925872e-15       2.475868581074e-12       4.900273046527e-13      -2.867015921762e-15 
  167       6.602622708093e-10       1.300658450631e-13      -5.806949273965e-12       1.278257790418e-15       2.433228287687e-12       4.832640226965e-13      -2.801212261001e-15 
  168       6.640508897957e-10       1.286775069602e-13      -5.751851767670e-12       1.295190500826e-15       2.391538063357e-12       4.766429100170e-13      -2.736394335258e-15 
  169       6.677909254871e-10       1.272681536028e-13      -5.693068055830e-12       1.312259977113e-15       2.350740126039e-12       4.701657747110e-13      -2.672799183423e-15 
  170       6.714808752394e-10       1.258410288967e-13      -5.630590883651e-12       1.329466109739e-15       2.310771512979e-12       4.638341185546e-13      -2.610672045857e-15 
  171       6.751193027366e-10       1.243994099400e-13      -5.564414563913e-12       1.346808735378e-15       2.271576829586e-12       4.576487012007e-13      -2.550213999718e-15 
  172       6.787051440871e-10       1.229463030095e-13      -5.494532698720e-12       1.364287563003e-15       2.233147881047e-12       4.516082067653e-13      -2.491419754229e-15 
  173       6.822374264219e-10       1.214847253391e-13      -5.420940345074e-12       1.381902240689e-15       2.195487184768e-12       4.457104520245e-13      -2.434226460849e-15 
