# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.642867635739e-02       2.139955649400e+04 
       2.656606350129e-02       2.133326397318e+04 
       2.670363249507e-02       2.126665958404e+04 
       2.684138740531e-02       2.119962140348e+04 
       2.697933240233e-02       2.113228311512e+04 
       2.711747176318e-02       2.106464459942e+04 
       2.725580987485e-02       2.099668981260e+04 
       2.739435123743e-02       2.092843922946e+04 
       2.753310046757e-02       2.085989178216e+04 
       2.767206230189e-02       2.079105667120e+04 
       2.781124160065e-02       2.072194794486e+04 
       2.795064335150e-02       2.065258477368e+04 
       2.809027267337e-02       2.058301589800e+04 
       2.823013482050e-02       2.051309335737e+04 
       2.837023518666e-02       2.044302908412e+04 
       2.851057930950e-02       2.037270696914e+04 
       2.865117287508e-02       2.030215805721e+04 
       2.879202172256e-02       2.023138688885e+04 
       2.893313184912e-02       2.016046925422e+04 
       2.907450941498e-02       2.008934577376e+04 
       2.921616074877e-02       2.001802842006e+04 
       2.935809235295e-02       1.994654170790e+04 
       2.950031090956e-02       1.987484059982e+04 
       2.964282328617e-02       1.980306798492e+04 
       2.978563654208e-02       1.973109657564e+04 
       2.992875793475e-02       1.965900403617e+04 
       3.007219492657e-02       1.958675041056e+04 
       3.021595519180e-02       1.951437187141e+04 
       3.036004662395e-02       1.944190797976e+04 
       3.050447734333e-02       1.936928895453e+04 
       3.064925570504e-02       1.929655170742e+04 
       3.079439030726e-02       1.922377142599e+04 
       3.093988999989e-02       1.915081789066e+04 
       3.108576389362e-02       1.907783990311e+04 
       3.123202136935e-02       1.900477835312e+04 
       3.137867208810e-02       1.893163410976e+04 
       3.152572600133e-02       1.885839206699e+04 
       3.167319336170e-02       1.878512519012e+04 
       3.182108473446e-02       1.871174918833e+04 
       3.196941100920e-02       1.863830482290e+04 
       3.211818341231e-02       1.856489768352e+04 
       3.226741351994e-02       1.849139269150e+04 
       3.241711327162e-02       1.841788901811e+04 
       3.256729498455e-02       1.834431792313e+04 
       3.271797136857e-02       1.827070585021e+04 
       3.286915554190e-02       1.819711836305e+04 
       3.302086104765e-02       1.812347193468e+04 
       3.317310187118e-02       1.804979707201e+04 
       3.332589245834e-02       1.797617204306e+04 
       3.347924773468e-02       1.790256074827e+04 
       3.363318312558e-02       1.782883534560e+04 
       3.378771457760e-02       1.775520514085e+04 
       3.394285858079e-02       1.768156063120e+04 
       3.409863219234e-02       1.760787239424e+04 
       3.425505306144e-02       1.753421304789e+04 
       3.441213945556e-02       1.746059541178e+04 
       3.456991028818e-02       1.738701635224e+04 
       3.472838514804e-02       1.731341090410e+04 
       3.488758433012e-02       1.723980420210e+04 
       3.504752886839e-02       1.716627864494e+04 
       3.520824057041e-02       1.709275798837e+04 
       3.536974205406e-02       1.701925068915e+04 
       3.553205678642e-02       1.694577106025e+04 
       3.569520912495e-02       1.687234545606e+04 
       3.585922436124e-02       1.679900702921e+04 
       3.602412876751e-02       1.672568131928e+04 
       3.618994964586e-02       1.665233658803e+04 
       3.635671538081e-02       1.657903383744e+04 
       3.652445549510e-02       1.650581364224e+04 
       3.669320070918e-02       1.643256881685e+04 
       3.686298300452e-02       1.635938799866e+04 
       3.703383569127e-02       1.628630580316e+04 
       3.720579348033e-02       1.621319279750e+04 
       3.737889256048e-02       1.614014064847e+04 
       3.755317068075e-02       1.606710569499e+04 
       3.772866723865e-02       1.599413380353e+04 
       3.790542337462e-02       1.592121962419e+04 
       3.808348207333e-02       1.584832538622e+04 
       3.826288827237e-02       1.577544322862e+04 
       3.844368897902e-02       1.570257108979e+04 
       3.862593339577e-02       1.562981848435e+04 
       3.880967305549e-02       1.555703404146e+04 
       3.899496196701e-02       1.548424496768e+04 
       3.918185677219e-02       1.541154900919e+04 
       3.937041691553e-02       1.533882105354e+04 
       3.956070482749e-02       1.526612240798e+04 
       3.975278612296e-02       1.519344032776e+04 
       3.994672981632e-02       1.512077481497e+04 
       4.014260855473e-02       1.504812605493e+04 
       4.034049887166e-02       1.497549244658e+04 
       4.054048146260e-02       1.490278543264e+04 
       4.074264148545e-02       1.483007065040e+04 
       4.094706888819e-02       1.475741399091e+04 
       4.115385876677e-02       1.468471546275e+04 
       4.136311175672e-02       1.461196498876e+04 
       4.157493446222e-02       1.453916054835e+04 
       4.178943992698e-02       1.446637168609e+04 
       4.200674815187e-02       1.439347776994e+04 
       4.222698666486e-02       1.432057018570e+04 
       4.245029114983e-02       1.424755649447e+04 
       4.267680614122e-02       1.417446347964e+04 
       4.290668579337e-02       1.410128752413e+04 
       4.314009473378e-02       1.402802510870e+04 
       4.337720901158e-02       1.395460829593e+04 
       4.361821715409e-02       1.388114312451e+04 
       4.386332134615e-02       1.380747011557e+04 
       4.411273874961e-02       1.373367328532e+04 
       4.436670298304e-02       1.365969540184e+04 
       4.462546578517e-02       1.358553653527e+04 
       4.488929888946e-02       1.351116842065e+04 
       4.515849614237e-02       1.343655020828e+04 
       4.543337590333e-02       1.336169314692e+04 
       4.571428377167e-02       1.328656652580e+04 
       4.600159569420e-02       1.321113212778e+04 
       4.629572151746e-02       1.313539576483e+04 
       4.659710906112e-02       1.305933688843e+04 
       4.690624880477e-02       1.298285963335e+04 
       4.722367929881e-02       1.290594158798e+04 
       4.754999343417e-02       1.282862904289e+04 
       4.788584573408e-02       1.275070196275e+04 
       4.823196086776e-02       1.267233925321e+04 
       4.858914363080e-02       1.259332899391e+04 
       4.895829069414e-02       1.251367201942e+04 
       4.934040449490e-02       1.243331465609e+04 
       4.973660973320e-02       1.235215279555e+04 
       5.014817305378e-02       1.227010273930e+04 
       5.057652663786e-02       1.218708849084e+04 
       5.102329661699e-02       1.210303901656e+04 
       5.149033745829e-02       1.201780287051e+04 
       5.197977377299e-02       1.193121691479e+04 
       5.249405138330e-02       1.184316640434e+04 
       5.303599996276e-02       1.175341048888e+04 
       5.360891015744e-02       1.166173725218e+04 
       5.421662880258e-02       1.156790216264e+04 
       5.486367664725e-02       1.147152392879e+04 
       5.555539379835e-02       1.137217880983e+04 
       5.629811866726e-02       1.126938566612e+04 
       5.709940604132e-02       1.116241267466e+04 
       5.796828795772e-02       1.105044808205e+04 
       5.891557526987e-02       1.093234153001e+04 
       5.995418433544e-02       1.080661053591e+04 
       6.109944551485e-02       1.067123994099e+04 
       6.236929812133e-02       1.052362272090e+04 
       6.378418878331e-02       1.036016598604e+04 
       6.536636562026e-02       1.017626677990e+04 
       6.713814057353e-02       9.966051693592e+03 
       6.911871977422e-02       9.722689548653e+03 
       7.131965191023e-02       9.439184316398e+03 
       7.374002532023e-02       9.110069490785e+03 
       7.636379223756e-02       8.733816721124e+03 
       7.916152845839e-02       8.314859316388e+03 
       8.209653637946e-02       7.864230289493e+03 
       8.513226794672e-02       7.398042355747e+03 
       8.823765766540e-02       6.934608561628e+03 
       9.138913592937e-02       6.491464866055e+03 
       9.457018017578e-02       6.082979850599e+03 
       9.776980618071e-02       5.719061117484e+03 
       1.009809587675e-01       5.404880294638e+03 
       1.041992041704e-01       5.140992422727e+03 
       1.074217935955e-01       4.924189676767e+03 
       1.106470370061e-01       4.748335863355e+03 
       1.138739005235e-01       4.605240206589e+03 
       1.171017535294e-01       4.485579409057e+03 
       1.203302119910e-01       4.379791940001e+03 
       1.235590422020e-01       4.278852134849e+03 
       1.267881019376e-01       4.175117134983e+03 
       1.300173045901e-01       4.062899500669e+03 
       1.332465973492e-01       3.938864394955e+03 
       1.364759479413e-01       3.802167654424e+03 
       1.397053365753e-01       3.654224669628e+03 
       1.429347510518e-01       3.498249495501e+03 
       1.461641837933e-01       3.338630962293e+03 
       1.493936300406e-01       3.180243557076e+03 
       1.526230867579e-01       3.027816069644e+03 
       1.558525519661e-01       2.885402861060e+03 
       1.590820243383e-01       2.756061796376e+03 
       1.623115029528e-01       2.641632878045e+03 
