# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.290921733124e-02       2.284166998658e+04 
       2.304302309484e-02       2.278863248919e+04 
       2.317693352913e-02       2.273489373318e+04 
       2.331095079438e-02       2.268057696753e+04 
       2.344507710296e-02       2.262556665734e+04 
       2.357931472066e-02       2.256997983833e+04 
       2.371366596802e-02       2.251373373468e+04 
       2.384813322171e-02       2.245687321210e+04 
       2.398271891592e-02       2.239940280708e+04 
       2.411742554383e-02       2.234141071809e+04 
       2.425225565915e-02       2.228284837226e+04 
       2.438721187763e-02       2.222373522549e+04 
       2.452229687871e-02       2.216404130867e+04 
       2.465751340712e-02       2.210384667334e+04 
       2.479286427468e-02       2.204319777241e+04 
       2.492835236198e-02       2.198197330364e+04 
       2.506398062026e-02       2.192028943129e+04 
       2.519975207328e-02       2.185813880797e+04 
       2.533566981927e-02       2.179552754098e+04 
       2.547173703296e-02       2.173242574800e+04 
       2.560795696763e-02       2.166895863050e+04 
       2.574433295728e-02       2.160499776677e+04 
       2.588086841885e-02       2.154068589487e+04 
       2.601756685455e-02       2.147590627202e+04 
       2.615443185417e-02       2.141079113287e+04 
       2.629146709761e-02       2.134524962176e+04 
       2.642867635739e-02       2.127932949075e+04 
       2.656606350129e-02       2.121307795807e+04 
       2.670363249507e-02       2.114652020124e+04 
       2.684138740531e-02       2.107953500963e+04 
       2.697933240233e-02       2.101225540264e+04 
       2.711747176318e-02       2.094468129536e+04 
       2.725580987485e-02       2.087679676166e+04 
       2.739435123743e-02       2.080862218996e+04 
       2.753310046757e-02       2.074015653917e+04 
       2.767206230189e-02       2.067140896763e+04 
       2.781124160065e-02       2.060239342168e+04 
       2.795064335150e-02       2.053312895490e+04 
       2.809027267337e-02       2.046366398337e+04 
       2.823013482050e-02       2.039385138296e+04 
       2.837023518666e-02       2.032390178388e+04 
       2.851057930950e-02       2.025369969589e+04 
       2.865117287508e-02       2.018327593965e+04 
       2.879202172256e-02       2.011263492087e+04 
       2.893313184912e-02       2.004185193394e+04 
       2.907450941498e-02       1.997086784195e+04 
       2.921616074877e-02       1.989969446997e+04 
       2.935809235295e-02       1.982835608964e+04 
       2.950031090956e-02       1.975680784175e+04 
       2.964282328617e-02       1.968519169870e+04 
       2.978563654208e-02       1.961338100870e+04 
       2.992875793475e-02       1.954145288317e+04 
       3.007219492657e-02       1.946936759067e+04 
       3.021595519180e-02       1.939716095141e+04 
       3.036004662395e-02       1.932487225620e+04 
       3.050447734333e-02       1.925243207783e+04 
       3.064925570504e-02       1.917987707000e+04 
       3.079439030726e-02       1.910728189857e+04 
       3.093988999989e-02       1.903451719815e+04 
       3.108576389362e-02       1.896173075840e+04 
       3.123202136935e-02       1.888886385751e+04 
       3.137867208810e-02       1.881591736368e+04 
       3.152572600133e-02       1.874287627563e+04 
       3.167319336170e-02       1.866981310697e+04 
       3.182108473446e-02       1.859664415655e+04 
       3.196941100920e-02       1.852340994619e+04 
       3.211818341231e-02       1.845021544671e+04 
       3.226741351994e-02       1.837692642897e+04 
       3.241711327162e-02       1.830364148063e+04 
       3.256729498455e-02       1.823029233812e+04 
       3.271797136857e-02       1.815690527216e+04 
       3.286915554190e-02       1.808354547749e+04 
       3.302086104765e-02       1.801012994489e+04 
       3.317310187118e-02       1.793668900687e+04 
       3.332589245834e-02       1.786330042111e+04 
       3.347924773468e-02       1.778992829073e+04 
       3.363318312558e-02       1.771644555505e+04 
       3.378771457760e-02       1.764306015621e+04 
       3.394285858079e-02       1.756966322827e+04 
       3.409863219234e-02       1.749622548473e+04 
       3.425505306144e-02       1.742281903336e+04 
       3.441213945556e-02       1.734945650842e+04 
       3.456991028818e-02       1.727613474587e+04 
       3.472838514804e-02       1.720278909761e+04 
       3.488758433012e-02       1.712944446564e+04 
       3.504752886839e-02       1.705618265101e+04 
       3.520824057041e-02       1.698292782607e+04 
       3.536974205406e-02       1.690968831611e+04 
       3.553205678642e-02       1.683647829720e+04 
       3.569520912495e-02       1.676332387628e+04 
       3.585922436124e-02       1.669025798325e+04 
       3.602412876751e-02       1.661720658236e+04 
       3.618994964586e-02       1.654413812765e+04 
       3.635671538081e-02       1.647111321181e+04 
       3.652445549510e-02       1.639817215980e+04 
       3.669320070918e-02       1.632520846317e+04 
       3.686298300452e-02       1.625231020630e+04 
       3.703383569127e-02       1.617951180122e+04 
       3.720579348033e-02       1.610668466733e+04 
       3.737889256048e-02       1.603391989861e+04 
       3.755317068075e-02       1.596117412780e+04 
       3.772866723865e-02       1.588849293336e+04 
       3.790542337462e-02       1.581587100260e+04 
       3.808348207333e-02       1.574327081474e+04 
       3.826288827237e-02       1.567068453027e+04 
       3.844368897902e-02       1.559811007898e+04 
       3.862593339577e-02       1.552565620902e+04 
       3.880967305549e-02       1.545317250564e+04 
       3.899496196701e-02       1.538068593139e+04 
       3.918185677219e-02       1.530829351064e+04 
       3.937041691553e-02       1.523587089234e+04 
       3.956070482749e-02       1.516347889003e+04 
       3.975278612296e-02       1.509110476845e+04 
       3.994672981632e-02       1.501874844497e+04 
       4.014260855473e-02       1.494641003363e+04 
       4.034049887166e-02       1.487408787764e+04 
       4.054048146260e-02       1.480169395899e+04 
       4.074264148545e-02       1.472929343215e+04 
       4.094706888819e-02       1.465695171090e+04 
       4.115385876677e-02       1.458456945946e+04 
       4.136311175672e-02       1.451213664598e+04 
       4.157493446222e-02       1.443965128076e+04 
       4.178943992698e-02       1.436718242869e+04 
       4.200674815187e-02       1.429461030373e+04 
       4.222698666486e-02       1.422202564556e+04 
       4.245029114983e-02       1.414933666278e+04 
       4.267680614122e-02       1.407656992914e+04 
       4.290668579337e-02       1.400372182257e+04 
       4.314009473378e-02       1.393078879029e+04 
       4.337720901158e-02       1.385770329539e+04 
       4.361821715409e-02       1.378457054968e+04 
       4.386332134615e-02       1.371123208584e+04 
       4.411273874961e-02       1.363777119767e+04 
       4.436670298304e-02       1.356413094013e+04 
       4.462546578517e-02       1.349031124050e+04 
       4.488929888946e-02       1.341628393720e+04 
       4.515849614237e-02       1.334200834099e+04 
       4.543337590333e-02       1.326749553742e+04 
       4.571428377167e-02       1.319271496717e+04 
       4.600159569420e-02       1.311762864432e+04 
       4.629572151746e-02       1.304224230208e+04 
       4.659710906112e-02       1.296653550286e+04 
       4.690624880477e-02       1.289041302281e+04 
       4.722367929881e-02       1.281385254054e+04 
       4.754999343417e-02       1.273689991695e+04 
       4.788584573408e-02       1.265933651277e+04 
       4.823196086776e-02       1.258133975145e+04 
       4.858914363080e-02       1.250269894333e+04 
       4.895829069414e-02       1.242341462854e+04 
       4.934040449490e-02       1.234343322065e+04 
       4.973660973320e-02       1.226265106087e+04 
       5.014817305378e-02       1.218098485251e+04 
       5.057652663786e-02       1.209835894453e+04 
       5.102329661699e-02       1.201470268749e+04 
       5.149033745829e-02       1.192986555548e+04 
       5.197977377299e-02       1.184368535277e+04 
