# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   80       2.848918624054e-10       6.288173605527e-14      -1.439783950220e-12       0.000000000000e+00       1.768866273676e-11       2.255275916837e-12      -8.364600448462e-15 
   81       2.884870445705e-10       6.488883248232e-14      -1.514823662603e-12       0.000000000000e+00       1.715368493221e-11       2.199520345232e-12      -8.253216309123e-15 
   82       2.921142521626e-10       6.691141667813e-14      -1.591061570733e-12       0.000000000000e+00       1.663915621031e-11       2.145661716614e-12      -8.169255803475e-15 
   83       2.957740894382e-10       6.894795515832e-14      -1.668456799862e-12       0.000000000000e+00       1.614487128698e-11       2.093697183450e-12      -8.108876049115e-15 
   84       2.994669003917e-10       7.099686312776e-14      -1.746967347472e-12       0.000000000000e+00       1.567035563787e-11       2.043597744374e-12      -8.067676553810e-15 
   85       3.031927548035e-10       7.305650428651e-14      -1.826550111337e-12       0.000000000000e+00       1.521485416654e-11       1.995307112199e-12      -8.040680485868e-15 
   86       3.069514342877e-10       7.512519063585e-14      -1.907160917578e-12       0.000000000000e+00       1.477731987243e-11       1.948740581927e-12      -8.022315944505e-15 
   87       3.107424183395e-10       7.720118228417e-14      -1.988754548723e-12       0.000000000000e+00       1.435640251904e-11       1.903783898761e-12      -8.006397230223e-15 
   88       3.145648703833e-10       7.928268725306e-14      -2.071284771766e-12       0.000000000000e+00       1.395043730190e-11       1.860292126111e-12      -7.986106115175e-15 
   89       3.184179547138e-10       8.136788628328e-14      -2.154702918744e-12       0.000000000000e+00       1.355784124807e-11       1.818125846419e-12      -7.955454447108e-15 
   90       3.223018747119e-10       8.345501213556e-14      -2.238953312133e-12       0.000000000000e+00       1.317839837813e-11       1.777268739118e-12      -7.913975727609e-15 
   91       3.262169725429e-10       8.554228242998e-14      -2.323977170203e-12       0.000000000000e+00       1.281215620411e-11       1.737726447048e-12      -7.862738405806e-15 
   92       3.301634038915e-10       8.762787593116e-14      -2.409713996903e-12       0.000000000000e+00       1.245903079413e-11       1.699490320858e-12      -7.802933474609e-15 
   93       3.341411289670e-10       8.970993272887e-14      -2.496101588226e-12       0.000000000000e+00       1.211880154881e-11       1.662536846308e-12      -7.735877933344e-15 
   94       3.381499035077e-10       9.178655441847e-14      -2.583076038593e-12       0.000000000000e+00       1.179110597770e-11       1.626827071579e-12      -7.663018250387e-15 
   95       3.421892697863e-10       9.385580428146e-14      -2.670571747218e-12       0.000000000000e+00       1.147543447567e-11       1.592306034568e-12      -7.585933825799e-15 
   96       3.462585476147e-10       9.591570746595e-14      -2.758521424485e-12       0.000000000000e+00       1.117112509932e-11       1.558902190197e-12      -7.506340453961e-15 
   97       3.503568253485e-10       9.796425116722e-14      -2.846856098319e-12       0.000000000000e+00       1.087735834341e-11       1.526526837713e-12      -7.426093786205e-15 
   98       3.544829508925e-10       9.999938480817e-14      -2.935505120565e-12       0.000000000000e+00       1.059315191727e-11       1.495073547994e-12      -7.347192793450e-15 
   99       3.586358195821e-10       1.020190666685e-13      -3.024397528926e-12       0.000000000000e+00       1.031758587122e-11       1.464443606935e-12      -7.271377515932e-15 
  100       3.628153037978e-10       1.040214109182e-13      -3.113466339150e-12       0.000000000000e+00       1.005052565148e-11       1.434627695643e-12      -7.198849817350e-15 
  101       3.670214389250e-10       1.060045618419e-13      -3.202644875464e-12       0.000000000000e+00       9.791992232335e-12       1.405634769460e-12      -7.129377026160e-15 
  102       3.712541328961e-10       1.079666499832e-13      -3.291865491757e-12       0.000000000000e+00       9.541938502133e-12       1.377466819917e-12      -7.062680046829e-15 
  103       3.755131607932e-10       1.099057928874e-13      -3.381059594380e-12       0.000000000000e+00       9.300246831791e-12       1.350118617384e-12      -6.998431904735e-15 
  104       3.797981594521e-10       1.118200958453e-13      -3.470157664959e-12       0.000000000000e+00       9.066726643336e-12       1.323577453715e-12      -6.936256291074e-15 
  105       3.841086220656e-10       1.137076526367e-13      -3.559089283189e-12       0.000000000000e+00       8.841111978436e-12       1.297822884906e-12      -6.875726107756e-15 
  106       3.884438927868e-10       1.155665462743e-13      -3.647783149647e-12       0.000000000000e+00       8.623059066931e-12       1.272826473737e-12      -6.816362012310e-15 
  107       3.928031613325e-10       1.173948497464e-13      -3.736167108591e-12       0.000000000000e+00       8.412143895368e-12       1.248551532424e-12      -6.757630962788e-15 
  108       3.971854575867e-10       1.191906267612e-13      -3.824168170769e-12       0.000000000000e+00       8.207859775529e-12       1.224952865272e-12      -6.698944762661e-15 
  109       4.015896462042e-10       1.209519324901e-13      -3.911712536219e-12       0.000000000000e+00       8.009614912970e-12       1.201976511320e-12      -6.639658605727e-15 
  110       4.060146176497e-10       1.226768627125e-13      -3.998726145651e-12       0.000000000000e+00       7.816865839077e-12       1.179572319459e-12      -6.579200960784e-15 
  111       4.104599006822e-10       1.243637068052e-13      -4.085136365855e-12       0.000000000000e+00       7.629542332169e-12       1.157734055022e-12      -6.517485239811e-15 
