# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.53491 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.916152845839e-02       8.215195936873e+03 
       8.209653637946e-02       7.788156742425e+03 
       8.513226794672e-02       7.347136737936e+03 
       8.823765766540e-02       6.909610182443e+03 
       9.138913592937e-02       6.492254229448e+03 
       9.457018017578e-02       6.108661268865e+03 
       9.776980618071e-02       5.768115777486e+03 
       1.009809587675e-01       5.475359214494e+03 
       1.041992041704e-01       5.230738228585e+03 
       1.074217935955e-01       5.031048625452e+03 
       1.106470370061e-01       4.870347307904e+03 
       1.138739005235e-01       4.740784917786e+03 
       1.171017535294e-01       4.633469608674e+03 
       1.203302119910e-01       4.539296339322e+03 
       1.235590422020e-01       4.449662952610e+03 
       1.267881019376e-01       4.357265325703e+03 
       1.300173045901e-01       4.256645280119e+03 
       1.332465973492e-01       4.144582947369e+03 
       1.364759479413e-01       4.020246022916e+03 
       1.397053365753e-01       3.884981208886e+03 
       1.429347510518e-01       3.741874749596e+03 
       1.461641837933e-01       3.595145991358e+03 
       1.493936300406e-01       3.449473051123e+03 
       1.526230867579e-01       3.309375834651e+03 
       1.558525519661e-01       3.178705341146e+03 
       1.590820243383e-01       3.060340058199e+03 
       1.623115029528e-01       2.955986572049e+03 
       1.655409871426e-01       2.866182048612e+03 
       1.687704764031e-01       2.790383149546e+03 
       1.719999703356e-01       2.727148150153e+03 
       1.752294686122e-01       2.674344953426e+03 
       1.784589709541e-01       2.629406674268e+03 
       1.816884771177e-01       2.589577271060e+03 
       1.849179868860e-01       2.552462849694e+03 
       1.881475000625e-01       2.515589840971e+03 
       1.913770164678e-01       2.476623447917e+03 
       1.946065359362e-01       2.434160842749e+03 
       1.978360583146e-01       2.387519956306e+03 
       2.010655834603e-01       2.336752124226e+03 
       2.042951112403e-01       2.282583532510e+03 
       2.075246415302e-01       2.226173407160e+03 
       2.107541742135e-01       2.168960967511e+03 
       2.139837091808e-01       2.112425809002e+03 
       2.172132463294e-01       2.057912519532e+03 
       2.204427855626e-01       2.006512012206e+03 
       2.236723267895e-01       1.959032196374e+03 
       2.269018699244e-01       1.915951292583e+03 
       2.301314148862e-01       1.877432169765e+03 
       2.333609615987e-01       1.843350977250e+03 
       2.365905099897e-01       1.813304588011e+03 
       2.398200599909e-01       1.786678943400e+03 
       2.430496115376e-01       1.762694600655e+03 
       2.462791645687e-01       1.740496883939e+03 
       2.495087190262e-01       1.719239091988e+03 
       2.527382748551e-01       1.698166825010e+03 
       2.559678320030e-01       1.676678742638e+03 
       2.591973904205e-01       1.654361767953e+03 
       2.624269500603e-01       1.631003605187e+03 
       2.656565108776e-01       1.606581862314e+03 
       2.688860728297e-01       1.581240297157e+03 
       2.721156358760e-01       1.555257739569e+03 
       2.753451999778e-01       1.529018937538e+03 
       2.785747650980e-01       1.502960580390e+03 
       2.818043312016e-01       1.477512647389e+03 
