# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   24       1.432326078154e-10       1.145203767484e-15       1.848543106938e-13       0.000000000000e+00       1.442009343739e-10       2.534910192427e-11       2.774391651922e-15 
   25       1.458544255547e-10       1.322041184578e-15       1.912409945585e-13       0.000000000000e+00       1.332026366980e-10       2.354206319818e-11      -1.143671849257e-15 
   26       1.485686264527e-10       1.518395060825e-15       1.973038381404e-13       0.000000000000e+00       1.232848725448e-10       2.192341420609e-11      -5.461015955639e-15 
   27       1.513829652156e-10       1.734698107932e-15       2.028234154766e-13       0.000000000000e+00       1.143889787207e-10       2.048148368921e-11      -9.337951434976e-15 
   28       1.542823016765e-10       1.970591119608e-15       2.075374126548e-13       0.000000000000e+00       1.063998042287e-10       1.918054160028e-11      -1.202584236287e-14 
   29       1.572354789657e-10       2.225756510182e-15       2.111695013126e-13       0.000000000000e+00       9.911429300325e-11       1.797094179127e-11      -1.283795189834e-14 
   30       1.602460391019e-10       2.501506660280e-15       2.136084707227e-13       0.000000000000e+00       9.248734188105e-11       1.685067665199e-11      -1.196726396600e-14 
   31       1.633176511740e-10       2.799841870417e-15       2.147992611691e-13       0.000000000000e+00       8.646543506369e-11       1.582549688281e-11      -1.001156508498e-14 
   32       1.664439433878e-10       3.122762109841e-15       2.147136287871e-13       0.000000000000e+00       8.094805303177e-11       1.489332594079e-11      -7.680095688420e-15 
   33       1.696248465030e-10       3.471189724129e-15       2.134033547533e-13       0.000000000000e+00       7.590177549386e-11       1.404838133602e-11      -5.431219161423e-15 
   34       1.728537404989e-10       3.845646974431e-15       2.109704586387e-13       0.000000000000e+00       7.127851901781e-11       1.327693334022e-11      -3.717273288749e-15 
   35       1.761182047415e-10       4.246616095604e-15       2.075156134526e-13       0.000000000000e+00       6.700548823967e-11       1.256091911136e-11      -2.954542231277e-15 
   36       1.794219871200e-10       4.674852929336e-15       2.029982996922e-13       0.000000000000e+00       6.306944893206e-11       1.189736241218e-11      -3.071665142074e-15 
   37       1.827690308150e-10       5.131173110217e-15       1.973285883524e-13       0.000000000000e+00       5.945619716079e-11       1.128469841463e-11      -3.802065303348e-15 
